depa,year,MED,MEDTASA,ENF,EFNTASA,OBST,ODON,HOSPN,HOSPTASA,CENTRON,PUESTON,CAMAN,CAMATASA,CAMATASA2,CONSLTASA,EGRESTASA,EGRESTASA2,PARTOSSPORC,ATPRENPORC,ATPARTOPORC,DPT,OPV,BCG,ASO,ACMODPARADOLES,ACMODPARADULT,ACNATPARADOLES,ACNATPARADULT,ACTRAD,ACMOD,ACTOTAL,SEGUROPORC,SISAFILIACN,SISFILIAPORC,SISATENCN,GENEROAFP,COMSALUDN,ESCSALUDN,BUSQAYUDAVIOLEN,GESTFESO4
Cajamarca,2006,281,2.1,498,3.7,293,52,9,0.07,105,526,1199,,,0.5,14.9,,69.4,,,85.8,79.8,77.4,74.7,1.130913545,9.863327134,0.28444536,0.66571029,,,,,926477,68.2,1309799,40.9,40,263,,29.42709936
Cajamarca,2007,281,2.1,498,3.7,293,52,9,0.07,105,526,1199,,,0.5,14.9,,69.4,,,99.8,98.9,97.5,100,,,,,26.4,43.5,71.4,,837168,61.6,273626,40.9,40,263,,29.4
Cajamarca,2008,379,2.6,602,4.1,292,50,10,0.07,111,599,506,,,0.5,18.3,,41.3,,,100,100,100,98.7,,,,,27.5602738,43.14742309,71.81733962,,856164,57.6,2363701,,2,634,,9.599927071
Cajamarca,2009,507,3.4,754,5,438,74,16,0.11,152,650,604,,,0.9,20,,60.8,,57.5,75.5,75.9,97.3,59.6,,,,,25.6,44,69.6,,1004757,67.3,2519936,,68,907,,83.2
Cajamarca,2010,523,3.5,969,6.4,497,97,16,0.11,130,726,1465,,,0.8,22.8,,53.9,,61.3,74.6,80,87.3,87.9,,,,,47.69276468,31.75353031,,,1022494,67.8,2944352,,,,,
Cajamarca,2011,523,3.5,969,6.4,497,97,16,0.11,130,726,1465,,,0.8,22.8,,51.7,,61.2,73.9,82.2,91.4,91.7,47,31.2,,,,,,,1163866,76.9,2807094,,,,,
Cajamarca,2012,649,4.3,1155,7.6,586,102,23,0.15,168,737,1501,,,1.1,23.5,,66.3,,92.6,83.5,88.6,96.6,95.6,46.6,30,,,,,,,1019558,67.1,2835386,,,,,
Cusco,2001,598,5.1,729,6.1,,0.7,14,0.12,77,190,1580,1.4,14.3,2.1,37.1,370.6,39.4,95.1,47.7,96.8,96.9,95.3,96.9,,,,,,43.8,67.3,,,,,,,,,
Cusco,2002,616,5.1,737,6.1,,0.7,15,0.13,76,189,1580,1.43,14.3,2.1,37.1,370.6,39.4,95.1,47.7,92.9,93.3,92.5,102,,,,,,43.8,67.3,,,,,,,,,
Cusco,2003,482,3.9,758,6.2,227,91,8,0.07,56,215,1019,,,0.6,19.7,,39.4,95.1,47.7,93.7,93.5,93.8,93.6,,,,,,43.8,67.3,43.1,,,,39.1,,,27.7,
Cusco,2004,489,4,538,4.3,215,81,10,0.08,56,217,1473,,,0.7,22.1,,39.4,95.1,47.7,94.3,94,92.1,96.4,,,,,,43.8,67.3,34.9,467995,37.8,434015,39.1,,,27.7,
Cusco,2005,483,3.9,742,5.9,232,60,5,0.04,49,213,1457,,,1,19,,39.4,95.1,47.7,94.3,94.6,92.6,12.2,,,,,,43.8,67.3,34.87062934,467995,37.4,434015,39.1,,,,
Cusco,2006,483,4.1,742,6.3,232,60,5,0.04,49,213,1457,,,1,19,,81.4,,,88.1,84.5,88.9,90,1.121034943,9.865131961,0.49990025,1.76239197,,,,,695217,59.3,839527,39.1,61,162,,26.92642061
Cusco,2007,483,4.1,742,6.3,232,60,5,0.04,49,213,1457,,,1,19,,81.4,,,88.3,88.7,86,92,,,,,21.8,38.8,66.4,,703526,60.1,619228,39.1,61,162,,26.9
Cusco,2008,742,6,920,7.4,232,60,10,0.08,55,235,960,,,1.2,36.2,,62.9,,,100,100,84.1,92.4,,,,,23.99879813,39.33167455,67.94139761,,688180,55.4,1554959,,0,569,,4.960588554
Cusco,2009,763,6,972,7.7,394,110,18,0.14,70,248,1181,,,1.2,46.5,,81.1,,72.4,58.5,58.5,88.6,54.1,,,,,31.3,40.6,71.9,,711235,56.2,1538545,,12,337,,80.1
Cusco,2010,847,6.6,1134,8.8,441,134,19,0.15,87,254,1730,,,1.4,49.2,,77.7,,85.3,84.2,88.9,89.1,89.8,,,,,41.35951512,29.15315896,,,740357,57.7,1758320,,,,,
Cusco,2011,847,6.6,1134,8.8,441,134,19,0.15,87,254,1730,,,1.4,49.2,,81.5,,87.6,94.3,98.8,95.4,90.9,46.5,30.2,,,,,,,836179,64.7,1949545,,,,,
Cusco,2012,991,7.6,1318,10.1,568,182,20,0.15,106,254,1720,,,1.5,46.1,,93.8,,90.1,86.5,87.1,93.5,90.9,49.1,29.1,,,,,,,691556,53.2,2231649,,,,,
Huancavelica,2001,121,2.8,113,2.6,,0.7,3,0.07,48,236,629,1.5,15.2,1.9,19.2,192.3,19.6,78.1,21,91.9,88.4,72,92.9,,,,,,24.6,49.6,,,,,,,,,
Huancavelica,2002,124,2.8,115,2.6,,0.7,3,0.07,48,236,629,1.52,15.2,1.9,19.2,192.3,19.6,78.1,21,88.7,88.7,81.4,91.7,,,,,,24.6,49.6,,,,,,,,,
Huancavelica,2003,104,2.3,143,3.2,85,30,2,0.04,50,241,373,,,0.3,5.9,,19.6,78.1,21,89.2,89.4,83.2,87,,,,,,24.6,49.6,39.1,,,,32.5,,,17.5,
Huancavelica,2004,106,2.3,217,4.7,97,31,2,0.04,51,240,375,,,0.3,4.9,,19.6,78.1,21,88.1,88.1,86.7,87.5,,,,,,24.6,49.6,42.5,256731,55.8,233804,32.5,,,17.5,
Huancavelica,2005,108,2.3,119,2.5,106,19,3,0.06,46,250,374,,,0.5,19.1,,19.6,78.1,21,94.2,94.1,105.1,89,,,,,,24.6,49.6,42.48390671,256731,54.8,233804,32.5,,,,
Huancavelica,2006,108,2.4,119,2.7,106,19,3,0.07,46,250,374,,,0.5,19.1,,73.5,,,97.7,97.5,82.9,68.7,1.049978572,6.821023911,0.427542295,1.182310811,,,,,347134,77.6,459172,32.5,9,80,,20.7239047
Huancavelica,2007,108,2.4,119,2.7,106,19,3,0.07,46,250,374,,,0.5,19.1,,73.5,,,75.1,75.1,75.5,90.9,,,,,27.2,30.7,59.8,,345448,77.3,"1'238,909",32.5,9,80,,20.7
Huancavelica,2008,360,7.4,328,6.7,106,19,2,0.04,47,249,179,,,0.8,15.1,,49.1,,,98.5,98,69.1,89.5,,,,,28.19002662,33.18681909,62.84812943,,309208,63.5,758153,,1,182,,0.367286782
Huancavelica,2009,213,4.5,361,7.7,130,55,2,0.04,63,281,133,,,1.3,25.3,,67.4,,66.2,43.6,43.7,62.9,45.2,,,,,34.2,37.3,71.5,,324538,68.8,648553,,39,362,,67.6
Huancavelica,2010,275,5.7,522,10.9,315,91,2,0.04,55,319,382,,,1.6,25,,63.5,,72.3,92.1,92.1,95.1,89.2,,,,,37.45880482,33.13560234,,,336478,70.2,723189,,,,,
Huancavelica,2011,275,5.7,522,10.8,315,91,2,0.04,55,319,382,,,1.6,25,,65.4,,73.3,96.6,94.8,95.6,95,38,31.7,,,,,,,409497,84.7,773732,,,,,
Huancavelica,2012,362,7.4,633,13,404,126,3,0.06,71,347,380,,,1.7,28,,80.5,,83.1,91.2,93.5,97.8,87.6,41.5,32,,,,,,,341760,70.1,1040657,,,,,
Huanuco,2001,293,3.7,368,4.6,,0.5,11,0.14,25,203,728,1,10.1,2.2,25.4,253.6,28.3,65.6,27.8,88.9,89.6,81.7,89.3,,,,,,46,60.2,,,,,,,,,
Huanuco,2002,300,3.7,373,4.6,,0.5,11,0.14,25,203,728,1.01,10.1,2.2,25.4,253.6,28.3,65.6,27.8,80.2,80.1,71.8,93.2,,,,,,46,60.2,,,,,,,,,
Huanuco,2003,256,3.1,423,5.1,182,40,6,0.07,44,195,703,,,0.4,13.4,,28.3,65.6,27.8,83,83.1,78.7,78.8,,,,,,46,60.2,38.8,,,,50.9,,,19.8,
Huanuco,2004,253,3,573,6.9,208,59,6,0.07,28,208,774,,,0.5,16.1,,28.3,65.6,27.8,83.1,83.1,78,76.9,,,,,,46,60.2,34.3,440321,52.8,712256,50.9,,,19.8,
Huanuco,2005,238,2.8,407,4.8,199,28,8,0.09,22,222,777,,,0.7,23.7,,28.3,65.6,27.8,83.2,83.2,82.2,76.4,,,,,,46,60.2,34.34122903,440321,52.1,712256,50.9,,,,
Huanuco,2006,238,3.3,407,5.6,199,28,8,0.11,22,222,777,,,0.7,23.7,,80.9,,,91.9,84.8,87.8,87.8,2.54017736,11.9843509,0.362806484,1.376819772,,,,,553731,75.8,945606,50.9,36,217,,24.06148282
Huanuco,2007,238,3.3,407,5.6,199,28,8,0.11,22,222,777,,,0.7,23.7,,80.9,,,76.5,93.3,88.6,95,,,,,17.4,43.3,62.6,,567460,77.6,"1'566,926",50.9,36,217,,24.1
Huanuco,2008,385,4.7,552,6.8,200,28,4,0.05,30,219,446,,,1,28.8,,57.5,,,100,100,91.8,90,,,,,16.54928358,45.79199884,63.97100086,,627963,77.3,2686229,,19,365,,6.756558078
Huanuco,2009,364,4.4,611,7.5,377,57,5,0.06,59,208,368,,,1.3,33.7,,73,,68.5,64.9,65,82,57.5,,,,,16.1,52.1,68.2,,702951,85.8,2243455,,23,450,,83.1
Huanuco,2010,416,5,800,9.6,427,62,4,0.05,50,228,909,,,1.4,34.7,,75.3,,82.1,78.6,79.4,89.4,84.6,,,,,55.33880696,16.60483595,,,690997,82.8,2635838,,,,,
Huanuco,2011,416,4.9,800,9.5,427,62,4,0.05,50,228,909,,,1.4,34.7,,75.2,,82.7,70.2,66.8,92.6,91.5,56.6,18.9,,,,,,,747733,88.9,2530364,,,,,
Huanuco,2012,391,4.6,757,8.9,391,72,4,0.05,74,227,919,,,1.6,33.5,,90,,91.3,87.4,92.5,92.1,96,58.6,15.8,,,,,,,564821,66.6,2857750,,,,,
Ica,2001,798,12.1,561,8.3,,2.4,20,0.31,45,97,1324,2.2,21.8,2.5,68.3,682.9,92.5,95.7,94.2,100,91.9,98.7,100,,,,,,60.9,77.5,,,,,,,,,
Ica,2002,832,12.1,570,8.3,,2.4,20,0.31,45,97,1324,2.18,21.8,2.5,68.3,682.9,92.5,95.7,94.2,86,88.6,75.8,80.7,,,,,,60.9,77.5,,,,,,,,,
Ica,2003,564,8.1,537,7.7,158,125,10,0.14,47,98,1246,,,0.9,32.1,,92.5,95.7,94.2,93.9,93.6,94.3,90.3,,,,,,60.9,77.5,48.6,,,,67.4,,,18.2,
Ica,2004,559,7.9,477,6.7,139,112,10,0.14,44,98,1248,,,0.9,35,,92.5,95.7,94.2,93.3,93.8,89.9,95.7,,,,,,60.9,77.5,48.3,165262,23.3,251037,67.4,,,18.2,
Ica,2005,629,8.7,571,7.9,170,130,11,0.15,36,109,1253,,,1.5,69.5,,92.5,95.7,94.2,83.7,89.3,97.6,88.9,,,,,,60.9,77.5,48.27796731,165262,22.9,251037,67.4,,,,
Ica,2006,629,9.5,571,8.6,170,130,11,0.17,36,109,1253,,,1.5,69.5,,84.7,,,85.3,100,100,83.6,0.843318551,6.73849842,0.187697859,0.601905906,,,,,184859,27.8,257059,67.4,39,262,,7.737860245
Ica,2007,629,9.5,571,8.6,170,130,11,0.17,36,109,1253,,,1.5,69.5,,84.7,,,92,90.9,99,96.6,,,,,21.8,52,75.2,,162431,24.4,250659,67.4,39,262,,7.7
